t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
1.248500000000000000e+04,5.000000000000000000e+01,9.699999999999999734e-01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000077e-03,0.000000000000000000e+00,1.419999999999999929e+00
1.414000000000000000e+04,5.200000000000000000e+01,5.490000000000000213e+00,2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.560000000000000053e+00,1.500000000000000000e+00,1.000014999999999930e+02,1.100000000000000089e+00,1.419999999999999929e+00
1.465600000000000000e+04,6.200000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.470000000000000195e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.620000000000000107e+00,3.930000000000000160e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.550000000000000044e+00
1.517300000000000000e+04,6.400000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.740000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.089999999999999858e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.560000000000000053e+00
1.566900000000000000e+04,6.500000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.609999999999999876e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.269999999999999574e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.560000000000000053e+00
1.616200000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.419999999999999929e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.620000000000000107e+00,4.250000000000000000e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.550000000000000044e+00
1.667900000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.470000000000000195e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.660000000000000142e+00,4.129999999999999893e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.570000000000000062e+00
1.717400000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.459999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.139999999999999680e+00,1.000015999999999963e+02,1.699999999999999956e+00,1.550000000000000044e+00
1.766800000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.470000000000000195e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,4.110000000000000320e+00,1.000015999999999963e+02,1.679999999999999938e+00,1.570000000000000062e+00
1.816300000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.640000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.879999999999999893e+00,1.000015999999999963e+02,1.699999999999999956e+00,1.560000000000000053e+00
1.865900000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.620000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.899999999999999911e+00,1.000014999999999930e+02,1.699999999999999956e+00,1.560000000000000053e+00
1.917700000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.629999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.649999999999999911e+00,3.879999999999999893e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.570000000000000062e+00
1.967200000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.370000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.019999999999999574e+00,1.000014999999999930e+02,1.699999999999999956e+00,1.550000000000000044e+00
2.016500000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.640000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.850000000000000089e+00,1.000016999999999996e+02,1.689999999999999947e+00,1.550000000000000044e+00
2.066000000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.640000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.830000000000000071e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.560000000000000053e+00
2.117800000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.629999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.830000000000000071e+00,1.000016999999999996e+02,1.689999999999999947e+00,1.550000000000000044e+00
2.167200000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.370000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.959999999999999964e+00,1.000014999999999930e+02,1.699999999999999956e+00,1.550000000000000044e+00
2.216600000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.370000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.950000000000000178e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.560000000000000053e+00
2.268300000000000000e+04,6.500000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.370000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.669999999999999929e+00,3.939999999999999947e+00,1.000014999999999930e+02,1.689999999999999947e+00,1.570000000000000062e+00
2.317700000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.379999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.910000000000000142e+00,1.000014999999999930e+02,1.699999999999999956e+00,1.550000000000000044e+00
2.367100000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.370000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.649999999999999911e+00,3.910000000000000142e+00,1.000014999999999930e+02,1.699999999999999956e+00,1.560000000000000053e+00
2.416700000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.450000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.660000000000000142e+00,4.360000000000000320e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.570000000000000062e+00
2.466200000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.450000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.649999999999999911e+00,4.349999999999999645e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.560000000000000053e+00
2.517800000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.450000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,4.349999999999999645e+00,1.000015999999999963e+02,1.699999999999999956e+00,1.560000000000000053e+00
2.567100000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.439999999999999947e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.750000000000000000e+00,1.000015999999999963e+02,1.699999999999999956e+00,1.560000000000000053e+00
2.616600000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.459999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.660000000000000142e+00,4.330000000000000071e+00,1.000015999999999963e+02,1.689999999999999947e+00,1.570000000000000062e+00
2.228190000000000055e+03,2.342876249999999800e+03,2.263298035714285561e+03,2.303087142857142680e+03,2.183719821428571322e+03,2.211806250000000091e+03,2.284362857142857138e+03,2.174357678571428551e+03,2.296065535714285488e+03,2.256276428571428369e+03,2.286703392857142717e+03,2.300746607142857101e+03,2.244573750000000018e+03,2.216487321428571249e+03
2.282022321428571558e+03,2.277341249999999945e+03,2.296065535714285488e+03,2.230530535714285634e+03,2.319470892857142644e+03,2.263298035714285561e+03,2.380324821428571340e+03,2.310108749999999873e+03,2.370962678571428569e+03,2.349897857142856992e+03,2.328833035714285870e+03,2.375643750000000182e+03,2.366281607142856956e+03,2.356919464285714184e+03
2.403730178571428496e+03,2.361600535714285797e+03,2.427135535714285652e+03,2.345216785714285834e+03,2.417773392857142881e+03,2.401389642857142917e+03,2.471605714285714384e+03,2.483308392857142735e+03,2.464584107142857192e+03,2.509054285714285925e+03,2.431816607142857265e+03,2.483308392857142735e+03,2.560546071428571395e+03,2.511394821428571504e+03
2.525438035714285888e+03,2.483308392857142735e+03,2.576929821428571358e+03,2.668210714285714403e+03,2.586291964285714130e+03,2.654167500000000018e+03,2.569908214285714166e+03,2.766513214285714184e+03,2.722043035714285907e+03,2.717361964285714294e+03,2.733745714285714257e+03,2.789918571428571340e+03,2.881199464285714384e+03,2.757151071428571413e+03
2.836729285714285652e+03,2.906945357142857119e+03,2.949074999999999818e+03,2.958437142857143044e+03,2.902264285714285506e+03,2.930350714285714275e+03,2.874177857142857192e+03,3.023972142857142899e+03,3.054399107142857247e+03,3.012269464285714093e+03,3.061420714285714439e+03,3.136317857142857065e+03,3.178447500000000218e+03,3.157382678571428642e+03
3.138658392857142644e+03,3.208874464285714112e+03,3.258025714285714457e+03,3.295474285714285543e+03,3.339944464285714275e+03,3.337603928571428696e+03,3.361009285714285852e+03,3.332922857142857083e+03,3.461652321428571213e+03,3.461652321428571213e+03,3.487398214285714403e+03,3.377393035714285816e+03,3.527187321428571522e+03,3.534208928571428714e+03
3.445268571428571249e+03,3.513144107142857138e+03,3.588041250000000218e+03,3.583360178571428605e+03,3.569316964285714221e+03,3.714430178571428769e+03,3.676981607142857229e+03,3.669960000000000036e+03,3.658257321428571231e+03,3.721451785714285506e+03,3.768262499999999818e+03,3.803370535714285779e+03,3.754219285714285888e+03,3.744857142857142662e+03
3.810392142857142971e+03,3.899332499999999982e+03,3.995294464285714184e+03,3.882948750000000018e+03,4.002316071428571377e+03,3.857202857142857283e+03,3.913375714285714366e+03,4.023380892857142953e+03,4.081894285714285616e+03,4.032743035714285725e+03,4.114661785714285543e+03,4.025721428571428532e+03,4.049126785714285688e+03,4.189558928571428623e+03
4.159131964285714275e+03,4.044445714285714075e+03,4.124023928571428769e+03,4.004656607142856956e+03,4.248072321428571740e+03,4.074872678571428423e+03,4.243391249999999673e+03,4.245731785714286161e+03,4.477444821428571231e+03,4.227007499999999709e+03,4.187218392857143044e+03,4.227007499999999709e+03,4.205942678571428587e+03,4.351055892857142680e+03
4.227007499999999709e+03,4.236369642857142935e+03,4.215304821428571813e+03,4.344034285714285943e+03,4.276158749999999600e+03,4.201261607142857429e+03,4.215304821428571813e+03,4.227007499999999709e+03,4.222326428571428551e+03,4.306585714285713948e+03,4.322969464285713912e+03,4.257434464285714057e+03,4.189558928571428623e+03,4.227007499999999709e+03
4.264456071428571704e+03,4.337012678571428296e+03,4.124023928571428769e+03,4.337012678571428296e+03,4.407228750000000218e+03,4.255093928571428478e+03,4.313607321428571595e+03,4.248072321428571740e+03,4.271477678571428442e+03,4.280839821428571668e+03,4.201261607142857429e+03,4.271477678571428442e+03,4.299564107142857210e+03,4.332331607142857138e+03
4.292542499999999563e+03,4.315947857142857174e+03,4.255093928571428478e+03,4.374461250000000291e+03,4.177856249999999818e+03,4.421271964285714603e+03,4.432974642857142499e+03,4.430634107142856919e+03,4.332331607142857138e+03,4.374461250000000291e+03,4.287861428571428405e+03,4.458720535714285688e+03,4.475104285714285652e+03,4.346374821428571522e+03
4.346374821428571522e+03,4.475104285714285652e+03,4.430634107142856919e+03,4.496169107142856774e+03,4.561704107142857538e+03,4.557023035714285470e+03,4.524255535714285543e+03,4.507871785714285579e+03,4.610855357142857429e+03,4.720860535714286016e+03,4.704476785714286052e+03,4.709157857142857210e+03,4.809800892857142571e+03,4.826184642857142535e+03
4.744265892857142717e+03,4.770011785714285907e+03,4.868314285714285688e+03,4.905762857142856774e+03,4.793417142857142608e+03,4.868314285714285688e+03,4.994703214285714239e+03,4.915125000000000000e+03,5.036832857142857392e+03,5.254502678571428987e+03,5.008746428571428623e+03,4.943211428571428769e+03,4.835546785714285761e+03,4.887038571428571231e+03
4.875335892857142426e+03,4.823844107142856956e+03,4.833206250000000182e+03,4.844908928571428987e+03,4.919806071428571158e+03,5.039173392857142971e+03,4.884698035714285652e+03,5.060238214285714093e+03,4.905762857142856774e+03,4.997043749999999818e+03,5.060238214285714093e+03,4.994703214285714239e+03,5.172583928571428260e+03,4.924487142857143226e+03
5.029811249999999745e+03,5.093005714285714021e+03,5.069600357142857320e+03,5.125773214285713948e+03,5.034492321428571813e+03,5.160881250000000364e+03,5.146838035714285979e+03,5.142156964285713912e+03,5.097686785714286088e+03,5.242800000000000182e+03,5.212373035714285834e+03,5.170243392857142680e+03,5.107048928571428405e+03,5.057897678571428514e+03
5.205351428571428187e+03,5.025130178571428587e+03,5.177265000000000327e+03,5.186627142857142644e+03,5.247481071428571340e+03,5.128113750000000437e+03,5.144497500000000400e+03,5.226416250000000218e+03,5.247481071428571340e+03,5.191308214285714712e+03,5.193648750000000291e+03,5.158540714285713875e+03,5.280248571428571267e+03,5.240459464285714603e+03
5.174924464285713839e+03,5.203010892857142608e+03,5.186627142857142644e+03,5.191308214285714712e+03,5.329399821428571158e+03,5.179605535714285907e+03,5.228756785714285797e+03,5.203010892857142608e+03,5.125773214285713948e+03,5.174924464285713839e+03,5.114070535714286052e+03,5.111729999999999563e+03,5.118751607142857210e+03,4.987681607142857501e+03
5.041513928571428551e+03,4.975978928571428696e+03,5.219394642857142571e+03,5.088324642857142862e+03,5.160881250000000364e+03,5.104708392857142826e+03,4.968957321428571049e+03,4.940870892857143190e+03,5.057897678571428514e+03,5.055557142857142935e+03,5.015768035714285361e+03,5.078962499999999636e+03,4.936189821428571122e+03,4.980659999999999854e+03
4.997043749999999818e+03,5.118751607142857210e+03,4.968957321428571049e+03,5.041513928571428551e+03,4.938530357142856701e+03,5.015768035714285361e+03,5.062578749999999673e+03,5.076621964285714057e+03,5.004065357142857465e+03,4.865973750000000109e+03,4.929168214285714384e+03,4.987681607142857501e+03,5.001724821428570976e+03,4.933849285714285543e+03
4.945551964285714348e+03,4.950233035714285506e+03,4.877676428571428914e+03,4.865973750000000109e+03,5.130454285714286016e+03,4.898741250000000036e+03,4.947892499999999927e+03,4.875335892857142426e+03,4.891719642857143299e+03,4.919806071428571158e+03,5.043854464285714130e+03,5.018108571428571850e+03,4.959595178571428733e+03,4.978319464285714275e+03
5.097686785714286088e+03,4.945551964285714348e+03,4.828525178571429024e+03,4.788736071428571449e+03,5.004065357142857465e+03,4.872995357142856847e+03,4.964276249999999891e+03,4.957254642857143153e+03,5.013427499999999782e+03,4.997043749999999818e+03,4.910443928571428842e+03,5.100027321428571668e+03,4.957254642857143153e+03,5.060238214285714093e+03
4.971297857142857538e+03,5.069600357142857320e+03,5.057897678571428514e+03,4.954914107142857574e+03,5.055557142857142935e+03,4.959595178571428733e+03,5.060238214285714093e+03,4.985341071428571013e+03,4.975978928571428696e+03,5.001724821428570976e+03,5.011086964285714203e+03,5.149178571428571558e+03,4.912784464285714421e+03,5.013427499999999782e+03
5.093005714285714021e+03,5.027470714285714166e+03,5.060238214285714093e+03,5.008746428571428623e+03,5.071940892857142899e+03,5.128113750000000437e+03,5.095346249999999600e+03,5.125773214285713948e+03,5.078962499999999636e+03,5.085984107142857283e+03,5.062578749999999673e+03,5.095346249999999600e+03,5.022789642857143008e+03,5.195989285714285870e+03
