Ts (degC),I (a.u.),P (W),q (slm)
3.082000000000000028e+01,1.569250234144735616e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.069000000000000128e+01,1.589496114445484243e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.058999999999999986e+01,1.569338435385341058e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000000e+01,1.605075212904133834e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.046000000000000085e+01,1.581856482687977143e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.042000000000000171e+01,1.588210421221806901e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.044000000000000128e+01,1.579441665761280106e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.037000000000000099e+01,1.591973509906010469e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.019999999999999929e+01,1.591353883872173028e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.005000000000000071e+01,1.601599394182324177e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.003999999999999915e+01,1.602207687095862115e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.987000000000000099e+01,1.590555514821430435e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.998999999999999844e+01,1.610059075742468936e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.994999999999999929e+01,1.601071049041353632e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.987000000000000099e+01,1.598384729971806286e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.982000000000000028e+01,1.590039981033837656e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.978000000000000114e+01,1.572053949558270164e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.973999999999999844e+01,1.624011255507516442e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.973000000000000043e+01,1.585995042575185653e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.966000000000000014e+01,1.578005069577064598e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.955000000000000071e+01,1.609318234595867805e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.948999999999999844e+01,1.590026061005639145e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.944000000000000128e+01,1.579300494501873851e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.946999999999999886e+01,1.579713291090233484e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.942000000000000171e+01,1.587586606860891916e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.942999999999999972e+01,1.595887501550747780e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.937999999999999901e+01,1.562612598045110470e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.926999999999999957e+01,1.582769414802630199e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.932000000000000028e+01,1.592378545770684956e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.928000000000000114e+01,1.586817186541346367e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.933999999999999986e+01,1.602149912819551537e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.919000000000000128e+01,1.613446939595868345e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.914999999999999858e+01,1.585398082781956531e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.926000000000000156e+01,1.593554726560150273e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.932000000000000028e+01,1.593687521165414480e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.932999999999999829e+01,1.570720952875944786e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.935000000000000142e+01,1.582264351832707645e+06,0.000000000000000000e+00,0.000000000000000000e+00
2.935999999999999943e+01,1.579471599981201114e+06,3.500000000000000000e+00,3.500000000000000000e+00
2.942999999999999972e+01,2.130691658796968870e+06,3.500000000000000000e+00,3.500000000000000000e+00
3.550000000000000000e+01,2.155659138750023209e+06,3.500000000000000000e+00,3.500000000000000000e+00
3.709000000000000341e+01,2.199141734436050057e+06,3.500000000000000000e+00,3.500000000000000000e+00
3.772999999999999687e+01,2.367762550319509581e+06,3.500000000000000000e+00,3.500000000000000000e+00
3.831000000000000227e+01,2.190606047058291268e+06,3.500000000000000000e+00,3.500000000000000000e+00
3.850000000000000000e+01,2.199165139793182723e+06,3.500000000000000000e+00,3.500000000000000000e+00
3.895000000000000284e+01,2.187539945272577461e+06,3.500000000000000000e+00,3.500000000000000000e+00
3.929999999999999716e+01,2.194684984877781477e+06,3.500000000000000000e+00,3.500000000000000000e+00
3.975999999999999801e+01,2.247151911682324018e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.045000000000000284e+01,2.236683188176648226e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.078000000000000114e+01,2.261132177875973750e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.117999999999999972e+01,2.233148363317710813e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.138000000000000256e+01,2.257693191795154009e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.184000000000000341e+01,2.235068957650334574e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.227000000000000313e+01,2.241021063157901634e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.252000000000000313e+01,2.225186230375986081e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.282999999999999829e+01,2.243706519924843684e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.307999999999999829e+01,2.236060852048891131e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.346999999999999886e+01,2.219437135545155499e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.361999999999999744e+01,2.246908742340251338e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.392999999999999972e+01,2.217247995535734110e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.403000000000000114e+01,2.212696023129738867e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.435999999999999943e+01,2.206784076287598349e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.443999999999999773e+01,2.200573156804547645e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.459000000000000341e+01,2.231562219219956081e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.474000000000000199e+01,2.228381554370313417e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.499000000000000199e+01,2.235876072913501877e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.518999999999999773e+01,2.184974841315745376e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.520000000000000284e+01,2.209797331240588333e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.549000000000000199e+01,2.248031829924847465e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.564000000000000057e+01,2.228846705046965741e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.582000000000000028e+01,2.231277659351461101e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.603999999999999915e+01,2.238156370629741345e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.621999999999999886e+01,2.235902804295159411e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.634000000000000341e+01,2.210551846043191850e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.664000000000000057e+01,2.179740664342067204e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.675000000000000000e+01,2.227502252058309503e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.692999999999999972e+01,2.244744978665445466e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.703000000000000114e+01,2.222672987763178535e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.727000000000000313e+01,2.199689050234914292e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.729999999999999716e+01,2.163318110723714344e+06,3.500000000000000000e+00,3.500000000000000000e+00
