t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
8.479000000000000000e+03,5.200000000000000000e+01,8.199999999999999512e-01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000031e-03,0.000000000000000000e+00,1.409999999999999920e+00
1.011400000000000000e+04,5.400000000000000000e+01,5.490000000000000213e+00,2.000000000000000000e+01,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.580000000000000071e+00,1.500000000000000000e+00,1.000015999999999963e+02,1.100000000000000089e+00,1.429999999999999938e+00
1.065200000000000000e+04,6.300000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.279999999999999805e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.620000000000000107e+00,4.120000000000000107e+00,1.000014999999999930e+02,1.709999999999999964e+00,1.530000000000000027e+00
1.116900000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.310000000000000053e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.660000000000000142e+00,4.080000000000000071e+00,1.000014999999999930e+02,1.699999999999999956e+00,1.560000000000000053e+00
1.166300000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.279999999999999805e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,3.959999999999999964e+00,1.000015999999999963e+02,1.709999999999999964e+00,1.530000000000000027e+00
1.215700000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.470000000000000195e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.649999999999999911e+00,3.470000000000000195e+00,1.000014999999999930e+02,1.719999999999999973e+00,1.540000000000000036e+00
1.265100000000000000e+04,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.379999999999999893e+00,1.000015999999999963e+02,1.709999999999999964e+00,1.540000000000000036e+00
1.316800000000000000e+04,6.500000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.649999999999999911e+00,3.379999999999999893e+00,1.000014999999999930e+02,1.709999999999999964e+00,1.550000000000000044e+00
1.366400000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.509999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.350000000000000089e+00,1.000014999999999930e+02,1.709999999999999964e+00,1.540000000000000036e+00
1.415800000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.540000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,3.229999999999999982e+00,1.000014999999999930e+02,1.709999999999999964e+00,1.540000000000000036e+00
